section	title	page	level	chapter_file
1	Welcome to Live	22	1	chapters/01-welcome-to-live.md
1.1	The Ableton Team Says: Thank You	22	2	chapters/01-welcome-to-live.md
2	First Steps	23	1	chapters/02-first-steps.md
2.1	Installation and Authorization	23	2	chapters/02-first-steps.md
2.2	Learning About Live	23	2	chapters/02-first-steps.md
2.2.1	Learn View	23	3	chapters/02-first-steps.md
2.2.2	Info View	28	3	chapters/02-first-steps.md
2.2.3	Other Learning Resources	29	3	chapters/02-first-steps.md
2.3	Live’s Settings	30	2	chapters/02-first-steps.md
2.3.1	Display & Input	30	3	chapters/02-first-steps.md
2.3.2	Theme & Colors	30	3	chapters/02-first-steps.md
2.3.3	Audio	31	3	chapters/02-first-steps.md
2.3.4	Link	31	3	chapters/02-first-steps.md
2.3.5	Tempo & MIDI	31	3	chapters/02-first-steps.md
2.3.6	File & Folder	32	3	chapters/02-first-steps.md
2.3.7	Library	32	3	chapters/02-first-steps.md
2.3.8	Plug-Ins	32	3	chapters/02-first-steps.md
2.3.9	Record, Warp & Launch	32	3	chapters/02-first-steps.md
2.3.10	Licenses & Updates	32	3	chapters/02-first-steps.md
3	Live Concepts	33	1	chapters/03-live-concepts.md
3.1	The Control Bar	33	2	chapters/03-live-concepts.md
3.2	The Status Bar	34	2	chapters/03-live-concepts.md
3.3	The Browser	35	2	chapters/03-live-concepts.md
3.4	Sound Similarity	36	2	chapters/03-live-concepts.md
3.5	Live Sets	38	2	chapters/03-live-concepts.md
3.6	Arrangement and Session	38	2	chapters/03-live-concepts.md
3.7	Tracks	40	2	chapters/03-live-concepts.md
3.8	Audio and MIDI	43	2	chapters/03-live-concepts.md
3.9	Audio Clips and Samples	44	2	chapters/03-live-concepts.md
3.10	MIDI Clips and MIDI Files	45	2	chapters/03-live-concepts.md
3.11	Devices	46	2	chapters/03-live-concepts.md
3.12	Clip and Device View	48	2	chapters/03-live-concepts.md
3.13	Scale Awareness	49	2	chapters/03-live-concepts.md
3.14	The Mixer	51	2	chapters/03-live-concepts.md
3.15	Presets and Racks	54	2	chapters/03-live-concepts.md
3.16	Routing	54	2	chapters/03-live-concepts.md
3.17	Recording New Clips	55	2	chapters/03-live-concepts.md
3.18	Automation Envelopes	57	2	chapters/03-live-concepts.md
3.19	Clip Envelopes	57	2	chapters/03-live-concepts.md
3.20	Undo History	58	2	chapters/03-live-concepts.md
3.21	MIDI and Key Remote	59	2	chapters/03-live-concepts.md
3.22	Saving and Exporting	59	2	chapters/03-live-concepts.md
4	Working with the Browser	61	1	chapters/04-working-with-the-browser.md
4.1	Content Pane	63	2	chapters/04-working-with-the-browser.md
4.2	Search Bar	64	2	chapters/04-working-with-the-browser.md
4.2.1	Saving Search Results as Custom Labels	67	3	chapters/04-working-with-the-browser.md
4.3	Browser History	70	2	chapters/04-working-with-the-browser.md
4.4	Filters and Tags	71	2	chapters/04-working-with-the-browser.md
4.4.1	Filter Groups	72	3	chapters/04-working-with-the-browser.md
4.4.2	Tags	73	3	chapters/04-working-with-the-browser.md
4.4.3	Tag Editor	74	3	chapters/04-working-with-the-browser.md
4.4.4	Quick Tags	78	3	chapters/04-working-with-the-browser.md
4.5	Collections	80	2	chapters/04-working-with-the-browser.md
4.6	Library	82	2	chapters/04-working-with-the-browser.md
4.7	Places	84	2	chapters/04-working-with-the-browser.md
4.7.1	Downloading and Installing Packs in the Browser	85	3	chapters/04-working-with-the-browser.md
4.7.2	Pack Info	89	3	chapters/04-working-with-the-browser.md
4.7.3	Splice	90	3	chapters/04-working-with-the-browser.md
4.7.4	Using Ableton Cloud	104	3	chapters/04-working-with-the-browser.md
4.7.5	Transferring Files from Push 3 in Standalone Mode	106	3	chapters/04-working-with-the-browser.md
4.7.6	User Library	109	3	chapters/04-working-with-the-browser.md
4.7.7	Current Project	112	3	chapters/04-working-with-the-browser.md
4.7.8	User Folders	114	3	chapters/04-working-with-the-browser.md
4.8	Navigating in the Browser	116	2	chapters/04-working-with-the-browser.md
4.9	Previewing Files	116	2	chapters/04-working-with-the-browser.md
4.10	Hot-Swap Mode	119	2	chapters/04-working-with-the-browser.md
4.11	Adding Content from the Browser to a Live Set	122	2	chapters/04-working-with-the-browser.md
5	Managing Files and Sets	123	1	chapters/05-managing-files-and-sets.md
5.1	Sample Files	123	2	chapters/05-managing-files-and-sets.md
5.1.1	The Decoding Cache	123	3	chapters/05-managing-files-and-sets.md
5.1.2	Analysis Files (.asd)	124	3	chapters/05-managing-files-and-sets.md
5.1.3	Exporting Audio and Video	125	3	chapters/05-managing-files-and-sets.md
5.2	MIDI Files	131	2	chapters/05-managing-files-and-sets.md
5.2.1	Exporting MIDI Files	131	3	chapters/05-managing-files-and-sets.md
5.3	Live Clips	132	2	chapters/05-managing-files-and-sets.md
5.4	Live Sets	133	2	chapters/05-managing-files-and-sets.md
5.4.1	Creating, Opening and Saving Sets	133	3	chapters/05-managing-files-and-sets.md
5.4.2	Merging Sets	133	3	chapters/05-managing-files-and-sets.md
5.4.3	Exporting Session Clips as New Sets	136	3	chapters/05-managing-files-and-sets.md
5.4.4	Template Sets	136	3	chapters/05-managing-files-and-sets.md
5.4.5	Viewing and Changing a Live Set’s File References	137	3	chapters/05-managing-files-and-sets.md
5.5	Live Projects	139	2	chapters/05-managing-files-and-sets.md
5.5.1	Projects and Live Sets	139	3	chapters/05-managing-files-and-sets.md
5.5.2	Projects and Presets	143	3	chapters/05-managing-files-and-sets.md
5.5.3	Managing Files in a Project	144	3	chapters/05-managing-files-and-sets.md
5.6	Locating Missing Files	144	2	chapters/05-managing-files-and-sets.md
5.6.1	Manual Repair	145	3	chapters/05-managing-files-and-sets.md
5.6.2	Automatic Repair	145	3	chapters/05-managing-files-and-sets.md
5.7	Collecting External Files	147	2	chapters/05-managing-files-and-sets.md
5.7.1	Collect Files on Export	148	3	chapters/05-managing-files-and-sets.md
5.8	Aggregated Locating and Collecting	149	2	chapters/05-managing-files-and-sets.md
5.9	Finding Unused Files	149	2	chapters/05-managing-files-and-sets.md
5.10	Packing Projects into Packs	150	2	chapters/05-managing-files-and-sets.md
5.11	File Management FAQs	150	2	chapters/05-managing-files-and-sets.md
5.11.1	How Do I Create a Project?	150	3	chapters/05-managing-files-and-sets.md
5.11.2	How Can I Save Presets Into My Current Project?	150	3	chapters/05-managing-files-and-sets.md
5.11.3	Can I Work On Multiple Versions of a Set?	150	3	chapters/05-managing-files-and-sets.md
5.11.4	Where Should I Save My Live Sets?	151	3	chapters/05-managing-files-and-sets.md
5.11.5	Can I Use My Own Folder Structure Within a Project Folder?	151	3	chapters/05-managing-files-and-sets.md
6	Arrangement View	152	1	chapters/06-arrangement-view.md
6.1	Layout	152	2	chapters/06-arrangement-view.md
6.2	Navigation and Zooming	155	2	chapters/06-arrangement-view.md
6.3	Transport and Playback	155	2	chapters/06-arrangement-view.md
6.4	Launching the Arrangement with Locators	157	2	chapters/06-arrangement-view.md
6.5	Time Signature Changes	159	2	chapters/06-arrangement-view.md
6.6	The Arrangement Loop	161	2	chapters/06-arrangement-view.md
6.7	Moving and Resizing Clips	162	2	chapters/06-arrangement-view.md
6.8	Audio Clip Fades and Crossfades	164	2	chapters/06-arrangement-view.md
6.9	Selecting Clips and Time	166	2	chapters/06-arrangement-view.md
6.10	Using the Editing Grid	167	2	chapters/06-arrangement-view.md
6.11	Using the …Time Commands	168	2	chapters/06-arrangement-view.md
6.12	Splitting Clips	168	2	chapters/06-arrangement-view.md
6.13	Consolidating Clips	169	2	chapters/06-arrangement-view.md
6.14	Linked-Track Editing	170	2	chapters/06-arrangement-view.md
6.14.1	Linking and Unlinking Tracks	170	3	chapters/06-arrangement-view.md
6.14.2	Editing Linked Tracks	171	3	chapters/06-arrangement-view.md
6.15	The Mixer in Arrangement View	172	2	chapters/06-arrangement-view.md
7	Session View	174	1	chapters/07-session-view.md
7.1	Session View Clips	175	2	chapters/07-session-view.md
7.2	Tracks and Scenes	176	2	chapters/07-session-view.md
7.2.1	Editing Scene Tempo and Time Signature Values	178	3	chapters/07-session-view.md
7.2.2	Scene View	179	3	chapters/07-session-view.md
7.3	The Track Status Fields	181	2	chapters/07-session-view.md
7.4	Setting Up the Session View Grid	182	2	chapters/07-session-view.md
7.4.1	Select on Launch	183	3	chapters/07-session-view.md
